file, circle, x, y
002.bmp, A, 1853.25100131, 1232.94396763
002.bmp, B, 1928.42098722, 1300.26935369
008.bmp, A, 1853.27285738, 1232.93521017
008.bmp, B, 1928.38321794, 1300.29516539
006.bmp, A, 1853.25627822, 1232.93700321
006.bmp, B, 1928.35800935, 1300.28096337
001.bmp, A, 1853.27490398, 1232.92369453
001.bmp, B, 1928.41830761, 1300.31245935
007.bmp, A, 1853.26917576, 1232.95096236
007.bmp, B, 1928.3864563, 1300.29776044
009.bmp, A, 1853.27662661, 1232.93366846
009.bmp, B, 1928.36712231, 1300.29102314
003.bmp, A, 1853.27724634, 1232.94413785
003.bmp, B, 1928.36853333, 1300.28598519
004.bmp, A, 1853.24316153, 1232.93499622
004.bmp, B, 1928.35245708, 1300.26412078
005.bmp, A, 1853.26000572, 1232.95270767
005.bmp, B, 1928.39360503, 1300.35955389
